account_number,transaction_date,transaction_amount,transaction_type,transaction_description,category,season
8821,1/23/20,-20.21,Debit,Debit Card Purchase - UBER EATS 8005928996 CA,Food,Winter
8821,1/22/20,-5,Debit,Withdrawal from Acorns Invest Transfer,Investment,Winter
8821,1/21/20,-10,Debit,Money sent to 13475640910,Shopping,Winter
8821,1/17/20,-22.98,Debit,Withdrawal from PLANET FIT CLUB FEES,Health,Winter
8821,1/17/20,-10.88,Debit,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Health,Winter
8821,1/16/20,-35,Debit,Debit Card Purchase - VICTORIA'S SECRET #158 STATEN ISLAND  NY,Shopping,Winter
8821,1/16/20,200,Credit,Deposit from 360 Savings XXXXXXX1675,,Winter
8821,1/15/20,-5,Debit,Withdrawal from Acorns Invest Transfer,Investment,Winter
8821,1/14/20,-48.39,Debit,Debit Card Purchase - WALMART COM 8009666546 AR,Shopping,Winter
8821,1/13/20,-1,Debit,Withdrawal from Subscription Acorns,Investment,Winter
8821,1/13/20,32.4,Credit,Deposit from MERCARI INC. 011020PMT,,Winter
8821,1/11/20,-60.79,Debit,Debit Card Purchase - CUROLOGY 8588591188 CA,Health,Winter
8821,1/10/20,150,Credit,Deposit from 360 Savings XXXXXXX1675,,Winter
8821,1/8/20,-5,Debit,Withdrawal from Acorns Invest Transfer,Investment,Winter
8821,1/6/20,-32.65,Debit,Debit Card Purchase - URBAN OUTFITTERS 166 A BROOKLYN  NY US,Shopping,Winter
8821,1/6/20,-31.54,Debit,Debit Card Purchase - MICHAELS STORES 1276 2 BROOKLYN  NY US,Shopping,Winter
8821,1/4/20,-0.99,Debit,Debit Card Purchase - APPLE COM BILL 866 712 7753 CA,Entertainment,Winter
8821,1/2/20,-1,Debit,Withdrawal from Subscription Acorns,Investment,Winter
